Ticker symbol,Security,GICS Sector,GICS Sub Industry,Location,Date first added[3][4],CIK,Founded
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/00,1090872,1999
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201,1934
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/15,1158449,1932
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152,2013 (1888)
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1140859,1985
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/18,815094,1981
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800,1888
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373,1989
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/99,6281,1965
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/81,7084,1902
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/81,8670,
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1101215,1996
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",12/1/89,769397,
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/76,1122304,1810
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/99,1578845,1983
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",3/31/80,5272,1919
AIV,Apartment Investment & Management (Aimco),Real Estate,Residential REITs,"Denver, Colorado",3/14/03,922864,1994 (1975)
AIZ,Assurant Inc.,Financials,Multi-line Insurance,"New York, New York",4/10/07,1267238,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,354190,
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/07,1086222,1998
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/16,915913,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/17,1097149,1997
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/16,766421,1985
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,899051,1931
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241,1908
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/12,899866,1992
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,6951,1967
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",3/20/17,2488,1969
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/14,1004434,1993
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507,1995
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994
ANDV,Andeavor,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",9/27/07,50104,1968
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,2014 (1940s)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",4/23/96,315293,1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,6769,1954
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",7/28/97,773910,1959
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969,1940
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/12,1521332,1994
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,"Pasadena, California",3/20/17,1035443,1994
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",3/31/64,4281,2016
ATVI,Activision Blizzard,Communication Services,Home Entertainment Software,"Santa Monica, California",8/31/15,718877,2008
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[5]",1/10/07,915912,
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",5/8/14,1441634,
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/87,8818,
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/16,1410636,1886
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/76,4962,1850
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,866787,
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931
BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina",12/4/97,92230,
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,
BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance,"Charlotte, North Carolina",8/8/17,1685040,
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1701605,2017
BIIB,Biogen Inc.,Health Care,Biotechnology,"Weston, Massachusetts",11/13/03,875045,
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",3/31/95,1390777,
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531,
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,1364742,
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389,
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",,14272,1989
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[6]",2/24/95,885725,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/88,831001,
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",7/31/87,356028,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,23217,
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,18230,1925
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,896159,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",11/10/06,1138118,
CBS,CBS Corp.,Communication Services,Broadcasting,"New York, New York",9/1/94,813828,
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",3/14/12,1051470,
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/17,813672,
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",11/6/06,816284,
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/10,804753,
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,759944,
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,313927,
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/76,701221,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,20286,
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,21665,1806
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/69,21076,1913
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",12/1/95,28412,
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/15,1166691,
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1156375,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",4/28/11,1058090,
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/65,26172,1919
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/99,811156,
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/16,1071739,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1130310,
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1935
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470,
COL,Rockwell Collins,Industrials,Aerospace & Defense,"Cedar Rapids, Iowa",7/2/01,1137411,
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",9/23/16,711404,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,909832,
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",10/3/16,1024305,
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",7/2/18,900075,
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",9/15/08,1108524,
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/93,858877,
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/67,277948,1980
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,723254,
CTL,CenturyLink Inc,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",3/25/99,18926,
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1058290,
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",12/1/99,877890,
CVS,CVS Health,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,64803,1996
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/16,1358071,
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",9/11/13,27904,
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612,
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/12,29534,
DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",12/12/02,1022079,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
DIS,The Walt Disney Company,Communication Services,Cable & Satellite,"Burbank, California",6/30/76,1001039,
DISCA,Discovery Inc. Class A,Communication Services,Cable & Satellite,"Silver Spring, Maryland",3/1/10,1437107,
DISCK,Discovery Inc. Class C,Communication Services,Cable & Satellite,"Silver Spring, Maryland",8/7/14,1437107,
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/17,1001082,
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",5/18/16,1297996,
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,935703,
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/85,29905,
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/17,783280,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160,
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/08,927066,
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/00,1090012,
DWDP,DowDuPont,Materials,Diversified Chemicals,"Midland, Michigan",,1666700,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/17,1688568,
EA,Electronic Arts,Communication Services,Home Entertainment Software,"Redwood City, California",7/22/02,712515,
EBAY,eBay Inc.,Consumer Discretionary,Internet Software & Services,"San Jose, California",,1065088,1995
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/89,31462,
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,1823
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/97,33185,
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,827052,1886
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1/5/06,1001250,
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,915389,
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/65,32604,1890
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/00,821189,
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/15,1101239,
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/01,906107,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",12/19/08,33213,
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966
ESRX,Express Scripts,Health Care,Health Care Distributors,"Cool Valley, Missouri",9/25/03,1532063,
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",4/2/14,920522,
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/04,1015780,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,1913
EVHC,Envision Healthcare,Health Care,Health Care Services,"Nashville, Tennessee",12/2/16,895930,
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/18,1711269,1909
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/11,1099800,
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,2000
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515,
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/07,1324424,
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/16,1289490,
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,1903
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/09,815556,
FB,"Facebook, Inc.",Communication Services,Internet Software & Services,"Menlo Park, California",12/23/13,1326801,
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",6/22/16,1519751,
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,831259,1912
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1048911,
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",12/20/10,1048695,1996
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",11/10/06,1136893,
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",4/2/01,798354,
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",4/4/16,850209,
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/09,354908,
FLR,Fluor Corp.,Industrials,Construction & Engineering,"Irving, Texas",3/31/80,1124198,
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",10/2/08,30625,
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia",6/20/18,1175454,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/09,37785,
FOX,Twenty-First Century Fox Class B,Communication Services,Publishing,"New York, New York",9/18/15,1308161,
FOXA,Twenty-First Century Fox Class A,Communication Services,Publishing,"New York, New York",7/1/13,1308161,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/16,34903,
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",6/5/09,1681459,
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/16,1659166,
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/04,882095,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/69,40704,1856
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,24741,1851
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/13,1467858,
GOOG,Alphabet Inc Class C,Communication Services,Internet Software & Services,"Mountain View, California",4/3/06,1652044,1998
GOOGL,Alphabet Inc Class A,Communication Services,Internet Software & Services,"Mountain View, California",4/3/14,1652044,1998
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/73,40987,1925
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/16,1123360,
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/86,39911,
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/12,1121788,
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",7/22/02,886982,
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582,1898
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/81,277135,
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,1919
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/84,46080,
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,49196,1866
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/15,1359841,
HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/15,860730,
HCP,HCP Inc.,Real Estate,Health Care REITs,"Long Beach, California",3/31/08,765880,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,354950,
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/84,4447,
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/18,48039,1947
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766,
